ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
121,121,3655093,3672208,3803116
122,122,3530779,3546144,3689098
123,123,3389223,3401858,3579386
124,124,3178317,3189129,3331968
125,125,3545613,3562189,3719109
126,126,3645196,3660818,3808026
127,127,3607762,3625903,3760883
128,128,4093194,4112782,4211817
129,129,3672356,3687963,3846181
130,130,3773462,3793195,3925681
131,131,3812140,3830036,3958731
132,132,3950739,3970232,4104696
133,133,3839116,3856704,4009650
134,134,3874158,3891565,4045591
135,135,3930084,3949034,4116045
136,136,4269862,4287198,4416421
137,137,4181066,4201004,4349972
138,138,4063476,4085386,4225539
139,139,4048467,4064786,4262864
140,140,4380648,4401000,4574430
141,141,3996803,4016705,4163842
142,142,4151007,4169104,4311440
143,143,4164429,4184446,4369068
144,144,4219728,4235912,4437884
145,145,4729685,4746675,4921506
146,146,4910407,4926916,5104093
147,147,4318538,4335341,4522882
148,148,4475159,4490999,4665262
149,149,4643668,4663525,4866511
150,150,4270504,4292615,4491447
151,151,4868521,4884469,5098985
152,152,4508519,4524834,4731154
153,153,4255069,4275063,4502243
154,154,4474479,4492852,4703034
155,155,4246533,4267579,4520691
156,156,4563194,4578481,4780726
157,157,4164546,4181538,4382983
158,158,4701476,4719595,4965327
159,159,5080465,5096152,5320098
160,160,4265841,4287024,4549196
161,161,4960244,4979815,5214677
162,162,4981986,5003452,5238557
163,163,4948875,4967705,5203354
164,164,5196319,5214035,5427459
165,165,5180816,5199253,5431691
166,166,4722726,4740614,5022977
167,167,4723810,4744311,4990297
168,168,5147256,5163177,5406611
169,169,4911421,4929574,5186187
170,170,5168913,5188177,5432339
171,171,5779735,5803614,6021650
172,172,5729889,5748365,6014159
173,173,5632416,5655714,5893527
174,174,5357486,5378894,5626072
175,175,5815492,5839798,6085477
176,176,5050752,5068178,5346674
177,177,5061230,5078980,5309994
178,178,5748372,5769582,6021595
179,179,5618861,5639218,5938103
180,180,5528017,5548784,5814546
181,181,5609652,5630282,5917602
182,182,5572247,5597656,5856339
183,183,5718555,5741197,6016359
184,184,5838463,5864524,6156864
185,185,5845874,5867086,6138219
186,186,5825756,5846744,6092347
187,187,5676888,5697388,5986561
188,188,5705284,5728561,6011948
189,189,5546206,5565000,5877310
190,190,5913893,5939503,6215504
191,191,6247314,6270903,6555500
192,192,5926991,5951002,6241182
193,193,5986700,6011754,6278203
194,194,6068717,6092113,6383396
195,195,5945535,5967262,6275943
196,196,5548531,5573855,5858164
197,197,6250602,6273239,6590356
198,198,5949857,5971425,6279547
199,199,6240444,6261568,6545975
200,200,6178206,6202085,6519103
201,201,6509265,6533156,6856927
202,202,6278181,6300392,6576349
203,203,6209573,6233162,6568946
204,204,6750420,6775251,7043066
205,205,6519049,6544120,6802704
206,206,6524216,6548121,6849859
207,207,6795132,6815142,7112960
208,208,6635948,6659194,6972035
209,209,6401158,6427958,6733190
210,210,6608879,6632854,6929792
211,211,7146985,7172328,7462116
212,212,7360036,7388901,7720289
213,213,6683495,6712453,6993240
214,214,7127703,7154690,7514134
215,215,7230485,7259208,7568631
216,216,6411626,6436586,6758047
217,217,6882349,6912783,7267739
218,218,6943187,6965048,7238223
219,219,7413744,7440552,7727046
220,220,7771789,7792882,8065853
221,221,6883073,6912376,7215112
222,222,7597923,7624751,7933217
223,223,6752291,6780908,7117188
224,224,6945875,6976775,7266343
225,225,7126091,7148496,7455120
226,226,7407433,7430958,7765746
227,227,7254030,7283359,7646262
228,228,7966787,7995168,8285245
229,229,7777787,7811810,8103097
230,230,7337331,7365621,7698583
231,231,6933921,6962053,7322478
232,232,7535655,7563670,7889211
233,233,7996674,8022798,8309777
234,234,7956126,7984922,8286687
235,235,7611940,7636439,7956105
236,236,7819743,7851349,8158454
237,237,7033998,7064345,7429968
238,238,7875309,7895605,8234408
239,239,7971993,7998610,8373557
240,240,7853747,7885117,8161996
241,241,7676841,7706770,7992977
242,242,8094896,8119898,8409209
243,243,8076731,8114101,8439326
244,244,7709059,7740820,8041120
245,245,7935496,7967923,8285600
246,246,7948153,7981880,8296696
247,247,8373525,8403828,8669768
248,248,8227068,8259357,8523924
249,249,8253741,8285007,8572845
250,250,8571028,8606960,8888547
251,251,8878986,8910362,9173767
252,252,8282102,8314599,8597122
253,253,8552834,8585294,8893468
254,254,8916934,8955643,9238131
255,255,8900085,8935279,9252293
256,256,8978780,9014715,9269460
257,257,8741322,8776477,9033943
258,258,8778563,8817390,9065419
259,259,8627782,8662081,8966055
260,260,8657130,8693828,9017086
261,261,9101427,9141620,9441966
262,262,9062655,9098256,9387631
263,263,8319692,8349882,8661814
264,264,8507293,8540719,8874935
265,265,9288073,9324455,9644252
266,266,9261411,9296923,9568139
267,267,8753626,8786650,9119937
268,268,8663102,8696015,9057648
269,269,9513457,9552480,9848994
270,270,9607904,9645234,9932542
271,271,9034984,9074352,9371055
272,272,9289369,9328715,9643369
273,273,8897894,8932496,9306986
274,274,9070806,9102844,9426561
275,275,9044828,9080307,9431939
276,276,9671369,9711628,10078660
277,277,9816634,9853371,10139653
278,278,9210308,9242259,9555870
279,279,9348452,9385268,9786197
280,280,9394330,9434908,9755176
281,281,9471847,9509362,9850720
282,282,9915487,9954707,10316542
283,283,9994578,10033687,10399632
284,284,9676879,9714564,10067477
285,285,9367668,9404417,9816639
286,286,9703130,9742971,10168276
287,287,10263963,10301853,10663392
288,288,10235150,10274133,10641925
289,289,10971644,11011061,11352935
290,290,10013295,10054763,10467056
291,291,9759174,9795894,10157190
292,292,9519965,9560319,9964564
