ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
850,850,36413057,36531885,37793647
851,851,36110285,36234912,37534176
852,852,37104764,37222930,38564318
853,853,36694727,36805876,37986150
854,854,36739328,36854538,38112944
855,855,36988544,37105291,38318330
856,856,37382699,37500897,38668953
857,857,36744806,36865407,38144982
858,858,36087468,36207588,37437534
859,859,36240411,36354645,37607583
860,860,35943260,36062508,37320171
861,861,36360217,36470514,37757300
862,862,36952062,37068607,38346032
863,863,36335028,36451777,37749229
864,864,36278831,36394817,37674677
865,865,36079234,36198625,37441163
866,866,38520417,38643273,39812231
867,867,37204005,37320035,38612694
868,868,37315871,37431187,38665378
869,869,36182464,36301138,37596196
870,870,36629177,36744531,37994103
871,871,37632690,37746788,38959109
872,872,36800490,36915298,38191019
873,873,35686697,35808305,37068075
