ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
629,629,21604038,21604038,21604038
630,630,687310,687310,687310
631,631,20986714,20986714,20986714
632,632,49026066,49026066,49026066
633,633,31657418,31657418,31657418
634,634,36676395,36676395,36676395
635,635,47910249,47910249,47910249
636,636,30130345,30130345,30130345
637,637,53162868,53162868,53162868
638,638,25058523,25058523,25058523
639,639,35074171,35074171,35074171
640,640,39109620,39109620,39109620
641,641,36402765,36402765,36402765
642,642,41385178,41385178,41385178
643,643,38801971,38801971,38801971
644,644,29501172,29501172,29501172
645,645,10112820,10112820,10112820
646,646,23127962,23127962,23127962
647,647,31688799,31688799,31688799
648,648,27499010,27499010,27499010
649,649,32637443,32637443,32637443
650,650,46447455,46447455,46447455
651,651,23659088,23659088,23659088
652,652,2037590,2037590,2037590
653,653,3872934,3872934,3872934
654,654,46780528,46780528,46780528
655,655,52164077,52164077,52164077
656,656,12159024,12159024,12159024
657,657,22189101,22189101,22189101
658,658,49869186,49869186,49869186
659,659,35073753,35073753,35073753
660,660,50545589,50545589,50545589
661,661,2149248,2149248,2149248
662,662,14791266,14791266,14791266
663,663,45121361,45121361,45121361
664,664,25017642,25017642,25017642
665,665,15214263,15214263,15214263
666,666,23615754,23615754,23615754
667,667,12117294,12117294,12117294
668,668,25059474,25059474,25059474
669,669,55640277,55640277,55640277
670,670,27553515,27553515,27553515
671,671,56559816,56559816,56559816
672,672,42756844,42756844,42756844
673,673,54128556,54128556,54128556
674,674,1448931,1448931,1448931
675,675,21530961,21530961,21530961
676,676,47981703,47981703,47981703
677,677,11755794,11755794,11755794
678,678,56510833,56510833,56510833
679,679,36452870,36452870,36452870
680,680,46868913,46868913,46868913
681,681,17988091,17988091,17988091
682,682,51902966,51902966,51902966
683,683,20638716,20638716,20638716
684,684,13303041,13303041,13303041
685,685,20219368,20219368,20219368
686,686,3899949,3899949,3899949
687,687,49380367,49380367,49380367
688,688,5720325,5720325,5720325
689,689,18994464,18994464,18994464
690,690,39937408,39937408,39937408
691,691,9435200,9435200,9435200
692,692,5936535,5936535,5936535
693,693,48631823,48631823,48631823
694,694,7811786,7811786,7811786
695,695,4114341,4114341,4114341
696,696,13029877,13029877,13029877
697,697,50837038,50837038,50837038
698,698,42341832,42341832,42341832
699,699,9365959,9365959,9365959
700,700,19062608,19062608,19062608
701,701,42404787,42404787,42404787
702,702,37387568,37387568,37387568
703,703,39224823,39224823,39224823
704,704,30207324,30207324,30207324
705,705,39083538,39083538,39083538
706,706,29672629,29672629,29672629
707,707,52901838,52901838,52901838
708,708,7055921,7055921,7055921
709,709,9145885,9145885,9145885
710,710,48988176,48988176,48988176
711,711,13303654,13303654,13303654
712,712,33991562,33991562,33991562
713,713,61004841,61004841,61004841
714,714,42766460,42766460,42766460
715,715,44622127,44622127,44622127
716,716,46108647,46108647,46108647
717,717,38813728,38813728,38813728
718,718,50094541,50094541,50094541
719,719,60540777,60540777,60540777
720,720,16791518,16791518,16791518
721,721,22972279,22972279,22972279
722,722,52902261,52902261,52902261
723,723,54261976,54261976,54261976
724,724,36838932,36838932,36838932
725,725,62114283,62114283,62114283
726,726,54361394,54361394,54361394
727,727,31053491,31053491,31053491
728,728,41713152,41713152,41713152
729,729,29985229,29985229,29985229
730,730,43694650,43694650,43694650
731,731,60067083,60067083,60067083
732,732,3916647,3916647,3916647
733,733,29386684,29386684,29386684
734,734,39189438,39189438,39189438
735,735,41520024,41520024,41520024
736,736,27704655,27704655,27704655
737,737,39362544,39362544,39362544
738,738,41449170,41449170,41449170
739,739,4814635,4814635,4814635
740,740,27757902,27757902,27757902
741,741,60272534,60272534,60272534
742,742,9155603,9155603,9155603
743,743,30763098,30763098,30763098
744,744,20958447,20958447,20958447
745,745,46591006,46591006,46591006
746,746,53297349,53297349,53297349
747,747,8620095,8620095,8620095
748,748,64624731,64624731,64624731
749,749,60754260,60754260,60754260
750,750,12695059,12695059,12695059
751,751,61708506,61708506,61708506
752,752,29580822,29580822,29580822
753,753,48662439,48662439,48662439
754,754,41798908,41798908,41798908
755,755,3248889,3248889,3248889
756,756,41717484,41717484,41717484
757,757,31034281,31034281,31034281
758,758,5897166,5897166,5897166
759,759,565622,565622,565622
760,760,59427914,59427914,59427914
761,761,44001990,44001990,44001990
762,762,64781635,64781635,64781635
763,763,357318,357318,357318
764,764,39609579,39609579,39609579
765,765,34691599,34691599,34691599
766,766,25910006,25910006,25910006
767,767,28318878,28318878,28318878
768,768,45162258,45162258,45162258
769,769,15864552,15864552,15864552
770,770,17606871,17606871,17606871
771,771,55759222,55759222,55759222
772,772,2716335,2716335,2716335
773,773,60170886,60170886,60170886
774,774,39386585,39386585,39386585
775,775,40664532,40664532,40664532
776,776,721929,721929,721929
777,777,15520829,15520829,15520829
778,778,15137779,15137779,15137779
779,779,21076470,21076470,21076470
780,780,52544954,52544954,52544954
781,781,25427577,25427577,25427577
782,782,26513265,26513265,26513265
783,783,51522886,51522886,51522886
784,784,4628706,4628706,4628706
785,785,5380719,5380719,5380719
786,786,45731113,45731113,45731113
787,787,68055725,68055725,68055725
788,788,3206889,3206889,3206889
789,789,15033122,15033122,15033122
790,790,42933558,42933558,42933558
791,791,43257984,43257984,43257984
792,792,10118755,10118755,10118755
793,793,795455,795455,795455
794,794,41222577,41222577,41222577
795,795,37126824,37126824,37126824
796,796,56965400,56965400,56965400
797,797,37052982,37052982,37052982
798,798,7238713,7238713,7238713
799,799,43494618,43494618,43494618
800,800,10690110,10690110,10690110
801,801,27813075,27813075,27813075
802,802,13208195,13208195,13208195
803,803,44010624,44010624,44010624
804,804,55625732,55625732,55625732
805,805,15840287,15840287,15840287
806,806,68461605,68461605,68461605
807,807,33930056,33930056,33930056
808,808,47278230,47278230,47278230
809,809,70189686,70189686,70189686
810,810,58354358,58354358,58354358
